value,voltage
0,0.0
0,0.012890821698329136
384,0.016113527122911423
256,0.00966811627374685
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.012890821698329136
320,0.022558937972075987
384,0.016113527122911423
192,0.00966811627374685
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.012890821698329136
384,0.022558937972075987
384,0.012890821698329136
192,0.00966811627374685
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.00966811627374685
192,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
256,0.0193362325474937
384,0.016113527122911423
256,0.00966811627374685
128,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.00966811627374685
320,0.0193362325474937
384,0.016113527122911423
256,0.00966811627374685
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.00966811627374685
320,0.0193362325474937
384,0.012890821698329136
192,0.00966811627374685
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.012890821698329136
384,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.012890821698329136
384,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.00966811627374685
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.003222705424582284
192,0.016113527122911423
384,0.0193362325474937
256,0.00966811627374685
192,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
256,0.016113527122911423
384,0.0193362325474937
256,0.00966811627374685
192,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.006445410849164568
256,0.0193362325474937
384,0.0193362325474937
256,0.00966811627374685
192,0.003222705424582284
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.00966811627374685
320,0.0193362325474937
384,0.016113527122911423
256,0.00966811627374685
128,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,0.012890821698329136
320,0.022558937972075987
384,0.016113527122911423
192,0.00966811627374685
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.012890821698329136
320,0.0193362325474937
384,0.012890821698329136
192,0.00966811627374685
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
128,0.012890821698329136
320,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
64,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.012890821698329136
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
192,0.016113527122911423
384,0.0193362325474937
320,0.00966811627374685
192,0.006445410849164568
0,0.0
0,0.0
0,0.0
